x,y,shot_body_part,shot_technique,under_pressure,shot_first_time,goal,shot_statsbomb_xg,team,player,minute,second,distance_to_goal,angle_to_goal,is_central_zone,is_left_side,is_right_side
94.5,55.2,Left Foot,Normal,0,0,0,0.025040528,Paris Saint-Germain,Adrien Rabiot,42,57,29.686528931486755,0.28511163207439433,0,0,1
102.4,43.6,Left Foot,Half Volley,1,0,0,0.08050941,Paris Saint-Germain,Zlatan Ibrahimović,45,29,17.964409258308493,0.41006466087116167,1,0,1
116.0,36.0,Head,Normal,1,0,1,0.16208136,Paris Saint-Germain,David Luiz Moreira Marinho,47,33,5.656854249492381,1.4820817107661723,1,1,0
113.1,42.4,Head,Normal,1,0,0,0.09953334,Paris Saint-Germain,David Luiz Moreira Marinho,49,30,7.305477397131557,0.9753959073722942,1,0,1
114.8,33.6,Right Foot,Volley,0,1,0,0.17200178,Paris Saint-Germain,Zlatan Ibrahimović,49,31,8.246211251235321,1.22660522837624,1,1,0
104.7,27.8,Left Foot,Normal,0,1,1,0.10623879,Paris Saint-Germain,Zlatan Ibrahimović,81,48,19.568597292601222,0.46960650228639017,0,1,0
114.5,33.7,Left Foot,Volley,0,1,0,0.14470227,Paris Saint-Germain,Edinson Roberto Cavani Gómez,3,46,8.363013810822027,1.174325946364645,1,1,0
108.5,27.8,Left Foot,Normal,0,1,0,0.15759662,Paris Saint-Germain,Ángel Fabián Di María Hernández,3,48,16.76573887426379,0.6162491267591,0,1,0
92.1,42.2,Left Foot,Normal,1,0,0,0.025379011,Paris Saint-Germain,Ángel Fabián Di María Hernández,11,6,27.986603938313063,0.26087593266036563,1,0,1
91.4,52.0,Right Foot,Half Volley,0,0,0,0.020734306,Paris Saint-Germain,Zlatan Ibrahimović,17,6,31.01548000595831,0.25456044130400274,0,0,1
108.3,49.8,Right Foot,Normal,0,0,0,0.06487354,Paris Saint-Germain,Edinson Roberto Cavani Gómez,20,51,15.262044423995103,0.6063536783391891,1,0,1
113.8,50.1,Head,Normal,0,0,0,0.053439654,Paris Saint-Germain,Edinson Roberto Cavani Gómez,21,20,11.85116028074889,1.066546723587709,0,0,1
108.8,34.3,Right Foot,Overhead Kick,0,1,0,0.06320031,Paris Saint-Germain,Edinson Roberto Cavani Gómez,29,23,12.56702033100926,0.6316923356605161,1,1,0
106.2,26.7,Right Foot,Normal,0,1,0,0.04735842,Paris Saint-Germain,Ángel Fabián Di María Hernández,32,46,19.16585505527995,0.5184976925653242,0,1,0
107.0,44.5,Head,Normal,0,0,0,0.0627143,Paris Saint-Germain,Edinson Roberto Cavani Gómez,37,40,13.756816492197604,0.5488694948224784,1,0,1
109.0,27.2,Left Foot,Normal,0,0,0,0.104841605,Paris Saint-Germain,Zlatan Ibrahimović,38,39,16.877203559831827,0.6424100014274465,0,1,0
108.3,40.3,Head,Normal,0,0,0,0.09943831,Paris Saint-Germain,Zlatan Ibrahimović,40,16,11.7038455218787,0.6063536783391891,1,0,1
103.6,53.0,Right Foot,Normal,0,1,0,0.07586647,Paris Saint-Germain,Zlatan Ibrahimović,45,29,20.927493877672028,0.4391452757123717,0,0,1
112.3,34.9,Head,Normal,0,0,0,0.12313479,Paris Saint-Germain,Edinson Roberto Cavani Gómez,54,54,9.235799911215057,0.8874264180196499,1,1,0
89.1,42.7,Left Foot,Half Volley,0,0,0,0.021023396,Paris Saint-Germain,Adrien Rabiot,57,21,31.0177368613508,0.23579459819063756,1,0,1
98.8,39.6,Right Foot,Half Volley,0,1,0,0.052933797,Paris Saint-Germain,Zlatan Ibrahimović,76,2,21.203773249117717,0.3419126911474317,1,1,0
112.6,33.5,Head,Normal,1,0,0,0.05891092,Paris Saint-Germain,Edinson Roberto Cavani Gómez,79,0,9.849365461794992,0.9186278833123988,1,1,0
117.5,46.8,Head,Normal,0,0,0,0.17922981,Paris Saint-Germain,Zlatan Ibrahimović,79,1,7.244998274671979,1.9430602390091187,1,0,1
104.6,40.7,Right Foot,Volley,0,0,0,0.059483137,Paris Saint-Germain,Zlatan Ibrahimović,82,45,15.415900881881674,0.46666692953314254,1,0,1
100.7,46.9,Right Foot,Half Volley,0,0,0,0.04288813,Paris Saint-Germain,Blaise Matuidi,82,47,20.496341136895627,0.37482373201875147,1,0,1
110.4,43.0,Right Foot,Volley,0,1,0,0.17979157,Paris Saint-Germain,Jean-Kévin Augustin,86,11,10.05783276854412,0.7284776635273387,1,0,1
115.0,30.0,Head,Normal,1,0,0,0.044551082,Paris Saint-Germain,David Luiz Moreira Marinho,87,13,11.180339887498949,1.2637624630824713,1,1,0
116.1,42.6,Head,Normal,1,0,0,0.30622306,Paris Saint-Germain,Thiago Emiliano da Silva,87,42,4.687216658103192,1.5073255797379794,1,0,1
116.3,32.7,Right Foot,Volley,0,1,0,0.24992338,Paris Saint-Germain,Zlatan Ibrahimović,87,42,8.184130986244048,1.559926868593224,1,1,0
108.8,43.5,Right Foot,Volley,0,1,0,0.087956294,Paris Saint-Germain,Thiago Emiliano da Silva,8,35,11.73413822996815,0.6316923356605161,1,0,1
96.2,32.8,Right Foot,Half Volley,0,1,0,0.037726667,Paris Saint-Germain,Zlatan Ibrahimović,9,30,24.8652367774771,0.3051723622718803,1,1,0
106.6,33.4,Right Foot,Normal,0,0,0,0.46120927,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,39,14.937201879870278,0.5332617696887639,1,1,0
113.4,33.4,Right Foot,Normal,0,1,1,0.8974841,Paris Saint-Germain,Edinson Roberto Cavani Gómez,12,41,9.333809511662425,1.0126526075472455,1,1,0
